"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"http://www.betahaus.de/";"858608";"-178487";"78230";"Germany";"887402"
"http://beyondcroissant.com/";"10510014";"+4670213";"N/A";"N/A";"11750711"
"http://www.bicing.com/home/home.php";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.bienvenueamatable.com/";"7078120";"+4715313";"N/A";"N/A";"6991316"
"http://www.bigfish.uk.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.bigwardrobe.com/SignUp.aspx?target=%2findex.aspx";"5065298";"+909433";"N/A";"N/A";"6028653"
"http://www.bikeandroll.com";"1845525";"+899793";"626691";"United States";"2228124"
"http://www.leihladen.at/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.bikestation.com";"4118569";"+912882";"N/A";"N/A";"3677906"
"http://bikeone.pl/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://bikesauce.org/";"5670136";"+654541";"N/A";"N/A";"5278887"
"http://bikesurfberlin.blogspot.de";"835";"+113";"32";"Germany";"989"
"http://billiji.com/";"3119819";"N/A";"N/A";"N/A";"3811675"
"http://www.stockholmsbilpool.nu";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://bimea.com/";"13664685";"-3072731";"N/A";"N/A";"14611290"
"http://www.bistip.com/";"646647";"+68604";"21700";"Indonesia";"523902"
"http://www.bitcoin.org/";"12578";"-1621";"3622";"Russia";"13388"
"https://montreal.bixi.com/";"546375";"+181645";"31860";"Canada";"568295"
"http://www.bizizaragoza.com/";"2716938";"+791411";"N/A";"N/A";"2327695"
"http://www.bkfarmyards.com/";"12656718";"+1616536";"N/A";"N/A";"11569245"
"http://www.blablacar.com/";"77532";"-26359";"18129";"France";"105850"
"http://www.bnbhero.com/";"988413";"+717707";"";"South Korea";"961426"
"http://www.collaborativeconsumption.com/directoryitem/board-a-boat/boardaboat.com";"306204";"+84369";"201147";"United States";"329791"
"https://boatbound.co/";"190400";"+30057";"74489";"United States";"170740"
"http://www.collaborativeconsumption.com/directoryitem/boaterfly/www.boaterfly.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.collaborativeconsumption.com/directoryitem/boatsetter/www.boatsetter.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.bonanza.com";"4926";"-596";"1438";"United States";"4011"
"http://www.bonappetour.com";"178081";"+45049";"7945";"Italy";"139321"
"http://boncarrytestapp.appspot.com/";"3850608";"-3313511";"N/A";"N/A";"4651028"
"https://www.boober.it/";"6795020";"+72883";"N/A";"N/A";"7796836"
"http://bookalokal.com/";"819176";"+170481";"390271";"United States";"821482"
"http://www.bookcrossing.com/";"34849";"-948";"6231";"India";"28644"
"https://www.bookelo.com";"4105774";"+1091990";"207423";"Germany";"4951320"
"http://www.bookhopper.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://Bookmooch.com";"155334";"-10480";"33184";"United States";"118556"
"http://www.bookrenter.com/";"40238";"-18071";"17420";"United States";"37702"
"https://www.bookshare.com.br/";"1913294";"-1898692";"N/A";"N/A";"2410315"
"http://www.bookswapper.de";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.bookway.de/home/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.collaborativeconsumption.com/directoryitem/bootleg-market/www.bootlegmarket.com";"306204";"+84369";"201147";"United States";"329791"
"http://Borrowtools.org";"3118966";"-5333365";"N/A";"N/A";"3442770"
"http://www.borrowedbling.com";"7264141";"-2598612";"N/A";"N/A";"5371955"
"http://www.borrowlenses.com/";"51946";"+7407";"10453";"United States";"45540"
"http://www.boxcycle.com";"1340360";"+32987";"338299";"United States";"1195531"
"http://www.BoxCycle.com";"1340360";"+32987";"338299";"United States";"1195531"
"http://www.brightneighbor.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
