"name";"url";"year";"location";"invest";"description"
"Backpack";"https://backpackbang.com/home";"2014";"Mountain View California";"N/A";"N/A"
"backpackmojo";"http://backpackmojo.com/";"N/A";"paris";"N/A";"N/A"
"Backseat Surfing";"http://www.backseatsurfing.com/";"N/A";"Amsterdam";"No";"N/A"
"Bag Borrow or Steal";"http://www.bagborroworsteal.com/";"2004";"Seattle";"N/A";"N/A"
"BagHitch";"http://www.collaborativeconsumption.com/directoryitem/baghitch/www.baghitch.com";"2014";"Stockholm";"N/A";"Get there and get things there, cheaper."
"Balanced";"https://www.balancedpayments.com/";"2012";"Palo Alto";"N/A";"N/A"
"Bambaram";"http://www.bambaram.in/bambaram/";"N/A";"Chennai";"N/A";"Toy rentals"
"Barclays Cycle Hire";"http://www.tfl.gov.uk/roadusers/cycling/14808.aspx";"2010";"London";"N/A";"N/A"
"Barnacle";"http://www.GoBarnacle.com";"2013";"Mountain View";"N/A";"Ship Outside the Box: Barnacle is a community that lets you ship your most treasured possessions through a trusted network of drivers already en route."
"Barnacle";"http://gobarnacle.com";"2013";"San Francisco";"N/A";"Barnacle is a community that lets you ship your most treasured possessions between cities through a trusted network of drivers already en route."
"Barter Babes";"http://barterbabesproject.com/";"2010";"Toronto";"N/A";"N/A"
"Barter Brokers";"http://www.Barterbrokers.com/";"1994";"Mount Pleasant?";"N/A";"N/A"
"Barter Smart";"http://smartBarterusa.com/";"N/A";"N/A";"N/A";"N/A"
"BarterQuest";"http://www.Barterquest.com/";"2007";"New York";"Yes";"N/A"
"BarterSugar";"http://www.bartersugar.com/";"2013";"N/A";"N/A";"N/A"
"Barton & Gray Mariners";"http://www.bartonandgray.com/";"2005";"New Hampshire ";"N/A";"N/A"
"Beagle";"http://getbeagle.com/";"2012";"New York";"N/A";"N/A"
"Bed&Fed";"http://www.bedandfed.co.uk/";"2011";"London";"N/A";"N/A"
"bedycasa";"http://fr.bedycasa.com/";"N/A";"N/A";"N/A";"N/A"
"beehive";"https://www.beehive.ae/";"2014";"Dubai";"N/A";"Beehive directly connects investors and businesses to build mutually beneficial partnerships for growth. Our platform applies the innovative technology of crowdfunding to eliminate the cost and complexity of conventional finance, meaning investors get better returns and businesses get faster access to lower cost finance."
"Beesfund";"http://www.beesfund.com/";"2012";"N/A";"N/A";"N/A"
"Beneteau Fractional Yachting (USA)";"http://www.beneteaufractional.com";"2007";"Fajardo";"No";"N/A"
"Berkeley Coworking (Berkeley)";"http://www.berkeleycoworking.com";"2007";"Berkeley";"No";"N/A"
"Berkeley Public Library’s Tool Lending Library";"http://www.berkeleypubliclibrary.org/";"2008";"Berkeley";"No";"N/A"
"Betahaus";"http://www.betahaus.de/";"2009";"Berlin";"No";"N/A"
"Beyond Croissant";"http://beyondcroissant.com/";"2012";"N/A";"N/A";"N/A"
"Bicing (Barcelona, Spain)";"http://www.bicing.com/home/home.php";"2007";"Barcelona";"No";"N/A"
"Bienvenue a ma table";"http://www.bienvenueamatable.com/";"N/A";"N/A";"N/A";"N/A"
"Big Fish (UK)";"http://www.bigfish.uk.com/";"1999";"London";"No";"N/A"
"Big Wardrobe";"http://www.bigwardrobe.com/SignUp.aspx?target=%2findex.aspx";"N/A";"N/A";"N/A";"N/A"
"Bike and Roll";"http://www.bikeandroll.com";"2001";"Chicago Miami";"No";"N/A"
"Bike Kitchen";"http://www.leihladen.at/";"N/A";"Vienna";"N/A";"Bike workshop, bike fixing, bike destroying, DIY"
"Bike Station";"http://www.bikestation.com";"1996";"Long Beach";"No";"N/A"
"BikeOne (Poland)";"http://bikeone.pl/";"2008";"Krakow";"No";"N/A"
"BikeSauce";"http://bikesauce.org/";"2009";"Toronto";"N/A";"N/A"
"BikeSurf Berlin";"http://bikesurfberlin.blogspot.de";"2012";"Berlin";"N/A";"N/A"
"Billiji";"http://billiji.com/";"2012";"Seoul";"N/A";"N/A"
"BilPool";"http://www.stockholmsbilpool.nu";"2010";"Stockholm";"No";"N/A"
"Bimea";"http://bimea.com/";"N/A";"N/A";"N/A";"Bimea is a P2P food transport site for those who want to purchase independent local products from abroad while in their own neighborhoods."
"Bistip";"http://www.bistip.com/";"N/A";"N/A";"N/A";"N/A"
"BitCoin";"http://www.bitcoin.org/";"2009";"Global";"No";"N/A"
"Bixi";"https://montreal.bixi.com/";"2009";"Montreal";"No";"N/A"
"Bizi (Zaragoza, Spain)";"http://www.bizizaragoza.com/";"2010";"Zaragoza";"No";"N/A"
"BKFarmYards";"http://www.bkfarmyards.com/";"2008";"Brooklyn";"No";"N/A"
"BlaBlaCar";"http://www.blablacar.com/";"2006";"N/A";"N/A";"N/A"
"BnB Hero";"http://www.bnbhero.com/";"2012";"Seoul";"N/A";"N/A"
"Board a Boat";"http://www.collaborativeconsumption.com/directoryitem/board-a-boat/boardaboat.com";"2013";"London";"N/A";"Peer-to-peer boat rental marketplace, connecting people who want to go boating with boat owners."
"Boatbound";"https://boatbound.co/";"2013";"San Francisco";"N/A";"N/A"
"Boaterfly";"http://www.collaborativeconsumption.com/directoryitem/boaterfly/www.boaterfly.com";"2013";"Paris";"N/A";"1st peer-to-peer rental website for all kinds of nautical vehicles.
Sailboats, powerboats, zodiac, windsurfs, light sailboats, kayaks, jetskis, river boats…
Boaterfly opens the door to temporary ocean and sea travelling off the beaten track.
Owners turn their watercrafts profitable, while tenants enjoy fair prices and warm welcoming."
"BoatSetter";"http://www.collaborativeconsumption.com/directoryitem/boatsetter/www.boatsetter.com";"2013";"Miami";"N/A";"BoatSetter is a unique Peer-to-Peer Boat sharing marketplace that, for the first time, makes boat rentals accessible to consumers regardless of their boating experience. Boatsetter allows boat owners to rent their boats capitalizing on the fact that boats sit idle 95% of the year. By combining best-­‐in-­‐class collaborative market tools with unprecedented industry partnerships, BoatSetter has built the only model capable of bringing the new “sharing economy” to the marine industry. Helmed by a uniquely qualified management team with decades of successful marine industry, tech start-up, and rental industry experience, Boatsetter.com is distinctly positioned to transform boating, as we know it."
"Bonanza";"http://www.bonanza.com";"2010";"Seattle";"N/A";"N/A"
"BonAppetour";"http://www.bonappetour.com";"2012";"Singapore";"N/A";"BonAppetour creates unique dining experiences with locals at their homes anywhere around the world."
"BonCarry";"http://boncarrytestapp.appspot.com/";"2013";"N/A";"N/A";"Missing anything from your country? Forgot a document and you need it asap? Would you like to try that Cuban rum again?"
"Boober";"https://www.boober.it/";"2007";"N/A";"No";"N/A"
"Bookalokal";"http://bookalokal.com/";"2012";"Brussels";"N/A";"N/A"
"BookCrossing";"http://www.bookcrossing.com/";"2001";"Sandpoint";"N/A";"N/A"
"Bookelo";"https://www.bookelo.com";"2012";"München";"N/A";"Bookelo ist das Soziale Netzwerk für Bücherfreunde auf der ganzen Welt. Bei Bookelo kannst Du Dir kostenlos Bücher bei Freunden, Nachbarn und Kollegen in Deiner Umgebung ausleihen. Du kannst einfach von zu Hause im Bücherregal Deiner Freunde stöbern und Ihnen bequem eine Anfrage schicken, wenn Dich ein Buch interessiert."
"Bookhopper (Global)";"http://www.bookhopper.com/";"N/A";"N/A";"N/A";"N/A"
"Bookmooch";"http://Bookmooch.com";"N/A";"Berkeley";"N/A";"N/A"
"BookRenter";"http://www.bookrenter.com/";"N/A";"San Francisco";"N/A";"N/A"
"Bookshare";"https://www.bookshare.com.br/";"2009";"Curitiba";"N/A";"A peer-to-peer book lending platform based in Brazil."
"BookSwapper (Germany)";"http://www.bookswapper.de";"N/A";"Aachen";"N/A";"N/A"
"Bookway";"http://www.bookway.de/home/";"N/A";"Bad Waldsee";"N/A";"N/A"
"BOOTLEG MARKET";"http://www.collaborativeconsumption.com/directoryitem/bootleg-market/www.bootlegmarket.com";"2012";"Austin Texas";"N/A";"The global peer-to-peer marketplace, where anyone can buy and sell shoes with brands and one another directly. Beautifully curated and poised to be the answer when someone asks, “Where did you get your shoes?” Empowering small designers and vendors from all over the world. Anyone can have a shoe store!"
