"name";"url";"year";"location";"invest";"description"
"College Labor";"https://collegelabor.org/";"2012";"San Francisco";"N/A";"College Labor is an online marketplace that connects households and businesses with eager, pre-screened college students for affordable Moving, Hauling and Odd Job / Errand services in the San Francisco Bay Area!"
"Collegiate Bicycle Company";"http://www.collegebikeshare.com";"2007";"San Diego";"No";"N/A"
"Coloft";"http://www.coloft.com/";"2010";"Santa Monica";"N/A";"N/A"
"colunching";"http://colunching.fr/";"N/A";"paris";"N/A";"N/A"
"Colunching";"http://www.colunching.com/en/";"2011";"N/A";"N/A";"N/A"
"Combinat56";"http://www.combinat56.de";"2010";"Munich";"No";"N/A"
"ComboRides";"http://www.comborides.com/";"2013";"Sofia";"N/A";"ComboRides.com is the Bulgarian ride sharing platform. The company was launched at the end of 2013 and our goal is to introduce the benefits of and enable people to share a ride in Bulgaria. Using our platform people can share a ride between cities, to work and even abroad."
"Comment Reparer";"http://www.commentreparer.com/";"N/A";"N/A";"N/A";"N/A"
"Communauto";"http://communauto.com/";"1994";"Montreal";"No";"N/A"
"Communi.st";"https://communi.st/";"2013";"Zagreb";"N/A";"N/A"
"Communiteach";"http://www.communiteach.com";"N/A";"N/A";"N/A";"N/A"
"Community Car";"http://www.communitycar.com/";"2009";"Madison";"N/A";"N/A"
"Community Garden Network";"http://communitygarden.org.au/";"1996";"Sydney";"N/A";"N/A"
"Community Lend";"http://www.communitylend.com/";"2007";"N/A";"No";"N/A"
"Compare and Share";"http://www.compareandshare.com/about-us/";"2013";"N/A";"N/A";"Compareandshare.com is the world’s one-stop comparison marketplace of the Sharing Economy that saves you money and time by making a whole variety of goods and resources available to you in one click. From spare rooms to sports equipment, there are over £3.5 trillion worth of unused goods for you to benefit from, but there was just no easy way to browse, compare and access them – until now. We are building the Compare and Share marketplace starting with car and ride sharing. Just put in your destination, and we bring up the best options for you from the sharing web, all in one place and hassle free. It can be that simple and quick for any number of things – power drills, holiday rentals, meals and garden tools, to name a few! – found in the over 8000 websites supporting the Sharing Economy. Browse our Global Sharing Economy Directory to see for yourself how many sharing opportunities exist today. Watch this space as we make it happen and bring it altogether. Compareandshare.com is brought to you by Compare and Share Ltd., the leading provider of technology-based solutions for asset-sharing that enables consumers and companies to access and share the world’s under-used assets. Alongside compareandshare.com, we license, build and customise asset-sharing solutions for companies and organizations helping them maximise their unused assets by making it simple for them to connect surplus resources with need. – See more at: http://www.compareandshare.com/about-us/#sthash.ZIwVcGma.dpuf"
"comptoir numerique";"http://www.comptoir-numerique.fr/";"N/A";"Saint-Etienne";"N/A";"N/A"
"Comunitats";"http://www.comunitats.com/en/";"2010";"Barcelona";"N/A";"N/A"
"Comuto";"http://www.blablacar.com;";"N/A";"paris";"N/A";"N/A"
"Connect by Hertz";"http://www.connectbyhertz.com/";"2008";"Berlin";"No";"N/A"
"ConsumerClassroom";"http://www.consumerclassroom.eu/";"N/A";"N/A";"N/A";"N/A"
"Content Runner";"http://www.collaborativeconsumption.com/directoryitem/content-runner/www.ContentRunner.com";"2014";"Seattle";"N/A";"Content Runner is a marketplace for connecting users and writers for the creation of unique written content."
"Cookening";"https://www.cookening.com/";"N/A";"N/A";"N/A";"N/A"
"Coopiloto";"http://www.collaborativeconsumption.com/directoryitem/coopiloto/www.coopiloto.net";"2014";"San Juan";"Coopiloto is an grassroots project developed without funds or institutional support, only with the time, effort and volunteer work of two people: Isabel Pares and Michael Patrushev.";"The start-up Coopiloto is the first online carpooling platform in Puerto Rico (www.coopiloto.net), an innovative way to drive transportation efficiency around the island through collaborative consumption (ride-sharing). Coopiloto is a non-profit project that was launched in January 2014 and represents a low-tech, high-impact strategy that will empower people by improving their mobility, while reducing fuel usage, air pollution and traffic congestion in the island of Puerto Rico. Our mission is to provide an inexpensive, efficient and eco-friendly form of collective transportation since the island does not have a functional public transportation system. As a consequence, the island has more cars than people: our current population is about 3.7 million inhabitants and there are 4.5 million registered vehicles in the country. Coopiloto is a project of Urbánica Estudio Inc., a non-profit organization whose mission is to design and implement sustainable urban initiatives in Puerto Rico to contribute to the economic, social and cultural development of the island through environmental and community-based projects."
"copious";"http://copious.com/";"N/A";"san francisco";"N/A";"N/A"
"CospoT";"http://cospot.ge/";"2014";"Tbilisi";"N/A";"CospoT is a Coworking Space in Tbilisi, Georgia. At CospoT, you’ll find:
– an office open space, ready to use (with Internet, printer and scanner).
– a conducive environment for work.
– events to connect, learn and share.
– professionals like you who want to be part of a group which promotes sharing and collaboration.
– …and of course tea, water and coffee."
"Costockage";"http://www.costockage.fr/";"2012";"Paris";"N/A";"N/A"
"Couch Tycoon (Germany)";"http://www.couchtycoon.net";"2007";"Hamburg";"No";"N/A"
"Couchsurfing";"http://www.couchsurfing.org";"2004";"San Francisco";"Yes";"N/A"
"CourseFinder";"http://www.coursefinder.com.au";"2014";"Sydney";"N/A";"CourseFinder helps you find the course that’s right for you. Browse through hundreds of courses offered by top Australian providers and upgrade your skills today."
"Covivo";"http://www.covoiturage-dynamique.eu/";"2009";"Paris";"N/A";"N/A"
"CoVoiturage";"http://www.covoiturage.fr/";"2006";"Paris";"Yes";"N/A"
"Cowobo";"http://cowobo.de/";"2010";"Poppelsdorf Bonn";"No";"N/A"
"Cowork Inn";"http://www.coworkinn.de/";"N/A";"Berlin";"N/A";"N/A"
"Coworking";"http://coworking.de/";"N/A";"N/A";"No";"N/A"
"Coworking Bremen";"http://coworking-bremen.net/";"2010";"Bremen";"No";"N/A"
"Coworking Cologne";"http://www.coworkingcologne.de/";"2010";"Cologne";"No";"N/A"
"Coworking Darmstadt";"http://www.coworking-darmstadt.de/";"N/A";"Darmstadt";"No";"N/A"
"coworking Dijon";"http://www.coworkingdijon.org/";"N/A";"dijon";"N/A";"N/A"
"Coworking directory";"http://coworking.pbworks.com/";"N/A";"Global";"No";"N/A"
"Coworking Erfurt";"http://coworking-erfurt.de/";"2010";"Erfurt";"No";"N/A"
"coworking la rochelle";"http://coworkinglarochelle.fr/";"N/A";"La Rochelle";"N/A";"N/A"
"coworking Lille";"http://www.coworkinglille.com/";"N/A";"Lille";"N/A";"N/A"
"Coworking Magdeburg";"http://www.coworking-magdeburg.de/";"2011";"Magdeburg";"No";"N/A"
"Coworking Munich";"http://www.coworkingmunich.de/";"2011";"Munich";"No";"N/A"
"Coworking Nuernberg";"http://www.coworking-nuernberg.de/";"2011";"Nuremberg";"No";"N/A"
"Coworking Stuttgart";"http://coworking-stuttgart.de/";"N/A";"Stuttgart";"No";"N/A"
"Craft Shops India";"http://www.craftshopsindia.com";"2013";"Ahmedabad";"3-5 lacs";"Craftshopsindia.com, a fast growing online platform to sell Indian handicrafts, fashion products, jewellery & gift items. A unique ecommerce platform where any wholesaler / retailer / trader / house wife can register as a seller, create their exclusive online shop & start selling their products globally. It is a great opportunity for lower middle class artisan & especially for women who are making handmade items from home & selling locally. Interesting point is, you do not need to pay anything for creating an online shop & uploading a product, it’s totally FREE – No INVESTMENTS, only pay small commission if you get the business. Each online shop represents their unique address where any buyer can directly visit the store & buy their products. All products are nicely displayed with appropriate category & sub category. The buying process is very smooth & fast, buyer can choose the items & quickly pay for it. Buyer has options to pay either with online payment system or cash on delivery (COD)."
"Craigslist";"http://www.craigslist.com";"1995";"San Francisco";"No";"N/A"
"Crashmypad";"http://www.crashmypad.com/";"2010";"Silicon Valley";"N/A";"N/A"
"Creative Media Lab";"http://www.creativemedialab.de/";"N/A";"Berlin";"No?";"N/A"
"CrewWithMe";"http://www.crewwith.me/";"2014";"Sydney";"N/A";"CrewWithMe is a rideshare web application helping recreational boaters make greater use of their boats by matching them to keen crew. Owners get to use their vessels more often, while crew get onto the water without ownership, and they share the costs"
"Cronoshare";"http://www.cronoshare.com";"2013";"Valencia";"N/A";"Cronoshare is an online meeting point between customers who want a service done such as tutoring, cleaning, house repairs or anything else; and the professionals who are interested in finding part time jobs to fill free time slots."
"Croqqer";"http://www.collaborativeconsumption.com/directoryitem/croqqer-2/www.croqqer.com";"2013";"Amersfoort";"N/A";"N/A"
"Crowd Culture";"http://www.crowdculture.se";"N/A";"Stockholm";"N/A";"N/A"
"Crowdangels";"http://www.crowdangels.pl/";"2012";"N/A";"N/A";"N/A"
"Crowdcube";"http://www.crowdcube.com";"2009";"Exeter";"N/A";"N/A"
"Crowdrise";"https://www.crowdrise.com/";"2010";"N/A";"N/A";"CrowdRise is an innovative, cost-effective online fundraising website for personal fundraisers, non-profit fundraising and event fundraising. Raise money online for causes and have the most fun in the world while doing it."
"CrowdRoaming";"http://www.crowdroaming.com/";"2013";"Leiden";"N/A";"N/A"
"CrowdTransfer";"http://crowdtransfer.com";"2014";"Santiago";"N/A";"CrowdTransfer presents the next step for collaborative international money transfers: eliminating the middle-man. We are creating a social network where each user has a public profile that indicates their online trust and reputation. Depending on one’s trust, others will be more or less willing to exchange money internationally. This way, users avoid bank fees and unfair exchange rates and thus transactions are done for free."
"CSI Catalyst";"http://www.csicatalyst.org/";"2013";"Toronto";"N/A";"N/A"
"CT Solar Lease (Connecticut)";"http://www.ctsolarlease.com/";"1947";"Allentown";"No";"N/A"
"Culture Kitchen";"http://culturekitchen.com/";"2010";"San Francisco";"N/A";"N/A"
"Cumplo";"https://cumplo.cl/";"2011";"Santiago";"N/A";"N/A"
"CurrencyFair";"http://www.currencyfair.com/";"2010";"Dublin";"N/A";"N/A"
"Curvy Road";"http://www.curvyroad.com/";"2000";"Palatine";"No";"N/A"
"CuseCar";"http://www.cusecar.org/";"2008";"Syracuse";"N/A";"N/A"
"Cuttle";"https://www.cuttle.com/";"2010";"Los Angeles";"N/A";"Cuttle works with property managers to provide residents of multi-family communities (apartment buildings, retirement homes etc.) a micro social network to message neighbors, borrow and lend the things they need, and also arrange community specific events. Through helping property managers build a friendly community residents are happier and lease longer."
"Cycle Chalao";"http://www.cyclechalao.com/";"N/A";"Mumbai";"N/A";"N/A"
"Dabble";"https://www.dabble.co/";"2011";"Chicago";"N/A";"N/A"
"Das Radhaus";"http://dasradhaus.at/";"N/A";"Vienna";"N/A";"Bike workshop, bike fixing, DIY"
"Date My Wardrobe";"http://www.collaborativeconsumption.com/directoryitem/date-my-wardrobe-2/www.datemywardrobe.com";"2013";"Boston";"N/A";"Date My Wardrobe is an online marketplace for renting high end wardrobe items."
"Date My Wardrobe";"http://www.collaborativeconsumption.com/directoryitem/date-my-wardrobe/www.datemywardrobe.com";"N/A";"Boston MA";"N/A";"Online, localized marketplace for renting high end fashion peer to peer."
"Date-Up";"http://www.date-up.com/bueroservice/";"2004";"Hamburg";"No";"N/A"
"Dawanda";"http://dawanda.com/";"2006";"Berlin";"Yes";"N/A"
"DCshippers";"http://www.collaborativeconsumption.com/directoryitem/dcshippers/dcshippers.com";"2014";"Cookeville";"N/A";"DCshippers.com connects people who need shipping with daily commuters who post their adds as couriers. By pairing package destination to courier commute, costs and time of shipping are a fraction of what major carriers charge."
"Deal-Trotter";"http://deal-trotter.com/";"2014";"N/A";"N/A";"Deal-Trotter connects travelers and e-Shopper with common interests centers. The e-shopper command abroad. The traveler relates his article."
"Deelit";"http://www.deelit.nl/";"2012";"N/A";"N/A";"With Deelit you can share easily and securely stuff with people in your neighbourhood, at a fair price. So you always have what you need quickly, without having to buy it."
"DenLilleTjeneste.dk";"http://denlilletjeneste.dk/da-dk/";"2011";"N/A";"N/A";"N/A"
"Denzeldrive";"http://www.denzeldrive.at/";"1997";"Vienna";"No";"N/A"
"Descola Ai";"http://www.descolaai.com/";"2011";"N/A";"N/A";"N/A"
"Designhaus";"http://www.designhaus-marl.de/";"N/A";"Marl";"No";"N/A"
"DesksNear.Me.";"https://desksnear.me/";"N/A";"San Francisco";"N/A";"N/A"
"Deskwanted";"https://www.deskwanted.com/";"2009";"Berlin";"N/A";"N/A"
"Deways";"http://www.deways.fr/en/";"2010";"Paris";"No";"N/A"
"Diamond Thrills";"http://www.diamondthrills.co.uk/";"2009";"London";"No";"N/A"
"Dig N";"http://www.dignswap.com/";"N/A";"Los Angeles";"N/A";"N/A"
"digihitch";"http://www.digihitch.com";"2001";"N/A";"No";"N/A"
"DimDom";"http://www.dimdom.fr/";"2009";"Paris";"No";"N/A"
"Divide and Savour";"http://divideandsavour.com/";"N/A";"Toronto";"N/A";"N/A"
"Divvy";"http://divvy.com.au/";"2012";"Sydney";"N/A";"N/A"
"Divvy";"http://letsdivvy.it";"2014";"Minneapolis";"$500,000";"Divvy brings people together to own and share the things they love."
"Dixieme Famille";"http://www.dixiemefamille.com/index.php";"2004";"Paris";"No";"N/A"
"DIY Fractional";"http://www.diyfractional.com/";"2011";"New York";"No";"N/A"
"Djengo";"http://www.djengo.be/";"2011";"N/A";"N/A";"N/A"
"DogVacay";"http://dogvacay.com/";"2011";"Santa Monica";"N/A";"N/A"
"donnons";"http://donnons.org/";"N/A";"N/A";"N/A";"N/A"
"Dopios";"http://www.dopios.com";"N/A";"Athens";"N/A";"N/A"
"Double Dutchery";"https://doubledutchery.com/";"N/A";"Berkeley";"N/A";"N/A"
"Doughbies";"https://www.doughbies.com/";"2014";"San Francisco CA";"N/A";"Doughbies delivers freshly baked cookies on demand – in 20 minutes or less. Everything is handmade in small batches by our own team of bakers."
"DreamsScanner";"http://www.collaborativeconsumption.com/directoryitem/dreamsscanner/www.dreamsscanner.com";"2014";"Stockholm";"N/A";"DreamsScanner is an online marketplace where travelers can buy and offer experiences, activities and tours created by locals."
"Drive Moby";"http://www.drivemoby.nl/";"2013";"N/A";"N/A";"Drive Moby can give you membership and get your own car, which you can rent out to drive cheaper or even for free."
"Drive My Car Rentals";"http://www.drivemycarrentals.com.au/";"2008";"N/A";"No";"N/A"
"Drivenow";"https://www.drive-now.com/";"N/A";"munich berlin";"N/A";"N/A"
"Drivy";"https://www.drivy.com/";"2010";"N/A";"N/A";"N/A"
"Drop Desk";"http://thatdropdesk.wix.com/that-drop-desk";"2015";"N/A";"N/A";"N/A"
"Dropis";"http://dropis.com/";"2012";"N/A";"N/A";"N/A"
"DropTrip";"http://droptrip.com/";"2013";"Bozeman";"N/A";"DropTrip is changing the way people, businesses, and communities around the world ship and receive the stuff they want. As a shipper, you get to save money sending and receiving your things through a network of vetted travelers. As a traveler, you get to make money for a trip you’re already taking, helping shippers get their stuff from point A to B. Save money shipping and make money traveling! Visit our website to learn more: http://www.droptrip.com"
"Dublinbikes (Dublin)";"http://www.dublinbikes.ie/";"2009";"Dublin";"No";"N/A"
"Duckseat";"http://www.duckseat.com";"2010";"Copenhagen";"No";"N/A"
"E-Car Club";"http://www.e-carclub.org/";"2011";"London";"N/A";"N/A"
"e-loue";"https://www.e-loue.com/";"2009";"Paris";"N/A";"N/A"
"Easybring";"http://www.easybring.com";"2010";"Oslo";"N/A";"N/A"
"EasyGuest";"http://easyguests.com/#contact";"2015";"N/A";"N/A";"Concierge Service for the Short Term Rentals."
"Eat With a Local";"http://eatwithalocal.socialgo.com/";"2011";"N/A";"N/A";"N/A"
"Eat With Me";"http://eatwithme.net/";"2010";"Melbourne";"N/A";"N/A"
"Eatro";"http://www.eatro.com";"2013";"N/A";"N/A";"N/A"
"EatWith";"http://www.eatwith.com/";"N/A";"N/A";"N/A";"N/A"
"EatWithALocal";"http://www.eatwithalocal.com";"2009";"Cardiff";"No";"N/A"
"eBay";"http://ebay.com";"N/A";"San Jose";"N/A";"N/A"
"eBookFling";"http://ebookfling.com/";"2011";"New Jersey";"N/A";"N/A"
"ecampus";"http://www.ecampus.com/";"N/A";"N/A";"N/A";"N/A"
"Ecobici";"https://www.ecobici.df.gob.mx/";"2010";"Mexico City";"N/A";"N/A"
"ecofreek";"http://www.ecofreek.com/";"N/A";"N/A";"N/A";"N/A"
"ecojouet";"http://www.ecojouet.fr/";"N/A";"N/A";"N/A";"N/A"
"ecolutis";"http://www.ecolutis.com/";"N/A";"rochefort";"N/A";"N/A"
"Ecomodo";"http://www.ecomodo.com/";"2007";"N/A";"N/A";"N/A"
"Edelstall";"http://edelstall.de/";"2010";"Hannover";"No";"N/A"
"Edible Cities";"http://www.ediblecities.org/index.html";"N/A";"N/A";"N/A";"N/A"
"eGo CarShare";"http://carshare.org/";"1998";"Denver & Boulder";"No";"N/A"
"Electron Workshop";"http://www.electronworkshop.com.au/";"N/A";"Melbourne";"N/A";"N/A"
"Empresta Ae";"https://www.facebook.com/emprestaae.co";"2013";"Porto Alegre";"N/A";"N/A"
"Endossa";"http://www.endossa.com/about/";"2010";"Sao Paulo";"No";"N/A"
"Enterprise Carshare";"http://www.enterprisecarshare.com/";"2012";"N/A";"N/A";"N/A"
"Entrusters.com";"http://entrusters.com";"2013";"Miami";"N/A";"Entrusters.com is a global peer-to-peer delivery platform providing customers with access to products through a community of Trusted Travelers, enabling customers to purchase anything from anywhere."
"Eppela";"http://www.eppela.com/eng/";"2010";"N/A";"N/A";"N/A"
"Erento";"http://www.erento.com/";"2003";"Berlin";"Yes";"N/A"
"eRideshare";"http://www.erideshare.com/";"1999";"Edwardsville";"No";"N/A"
"Etsy";"http://www.etsy.com";"2005";"Brooklyn";"Yes";"N/A"
"Euro Freelancers";"http://www.euro-freelancers.eu";"2010";"Brussels";"N/A";"N/A"
"Eventup";"http://eventup.com";"2011";"Santa Monica";"N/A";"N/A"
"Everaround";"https://www.everaround.com";"2014";"Tallinn";"N/A";"Local experiences, activities and tours. A marketplace where locals can share knowledge with travellers wanting to explore."
"Evergreen Brick Works";"http://ebw.evergreen.ca/";"N/A";"Toronto";"N/A";"N/A"
"Evermarine (USA)";"http://www.evermarine.com/fractional_moppie01.html";"2005";"Amador Causeway";"No";"N/A"
"exchangeaway";"http://www.exchangeaway.com/en/";"2012";"N/A";"N/A";"N/A"
"ExchangeWorks";"http://exchangeworks.co/";"2014";"Los Angeles CA";"N/A";"ExchangeWorks is a collaborative platform that generates new opportunities for artists and the public through the exchange of art and resources. ExchangeWorks encourages long-term support for artists, while providing greater access to art for more people. Fostering a new generation of collectors and patrons, individuals and businesses can participate in exchanges by making use of their available resources."
"Exchango";"http://exchango.com/";"2009";"Los Angeles";"N/A";"N/A"
"expediez entre vous";"http://www.expediezentrevous.com/";"N/A";"N/A";"N/A";"N/A"
"Expediezentrevous";"http://www.expediezentrevous.com/";"2010";"Montpellier";"N/A";"N/A"
"eXpertLocal";"http://www.expertlocal.com/";"2012";"N/A";"N/A";"N/A"
"Explorental";"http://explorental.com/";"2013";"Louisville KY";"N/A";"N/A"
"EZ RV Hire";"http://www.ezrvhire.com.au/";"2014";"N/A";"N/A";"At EZ RV Hire we quickly connect renters with the Recreational Vehicle (RV) owners who want to hire them out along with all their leisure equipment. And we make all the confusing, messy paperwork and advertising easy."
"Ez-Park";"http://www.ezpark.me/";"2014";"São Paulo";"N/A";"Ez-Park allows everyone to offer and search for parking spaces in a simple, fast and safe way."
"Factoryz";"http://www.collaborativeconsumption.com/directoryitem/factoryz/www.factoryz.co";"N/A";"Angers";"N/A";"Factoryz is an innovative service for the optimized management of fluctuation of activity for companies, based on resources and assets sharing."
"Fajoya";"http://www.fajoya.com/";"2013";"Helsinki";"N/A";"N/A"
"Fallen Fruit";"http://www.fallenfruit.org/";"N/A";"N/A";"N/A";"N/A"
"fanbed";"http://fanbed.com/";"N/A";"N/A";"N/A";"N/A"
"Fanbed Ltd";"http://www.collaborativeconsumption.com/directoryitem/fanbed-ltd/www.fanbed.com";"2011";"London";"self funded";"Sports fans and athletes – book accommodation & parking near to sports venues and starting lines; list your accommodation and parking for free. Register today."
"FancyHands";"http://www.fancyhands.com/";"N/A";"New York";"N/A";"N/A"
"FanFootage";"https://fanfootage.com/";"2011";"Dublin";"N/A";"FanFootage takes live video shot by fans at music or sporting events and automatically syncs this with professionally-recorded live audio."
"Fare/Share NYC";"http://faresharenyc.com/";"2010";"New York";"No";"N/A"
"FarmDrop";"http://www.farmdrop.co.uk/#/";"2013";"London";"N/A";"N/A"
"Farmer Foodshare";"http://www.farmerfoodshare.org/";"2011";"N/A";"N/A";"N/A"
"Farmer’s Market Online";"http://farmersmarketonline.com";"1994";"Sun Valley";"No";"N/A"
"Farmigo";"http://www.farmigo.com/";"2009";"Founded in San Francisco CA; Based in Brooklyn NY";"$10 Million";"Currently operating in New York and San Francisco, Farmigo is an online farmer’s market that empowers people to eat better – by creating farm-to-neighborhood access to fresh and affordable food, benefiting local farmers and bypassing local supermarkets. Customers order their produce, meats, seafood, grains and snacks through the Farmigo site, and can pick up their delicious, natural food within 48 hours of harvest. Farmigo uses technology to transform the suburban food system, which had become efficient, yet unsustainable and impersonal. The team is working to make local, farm-to-table food easily available, by bringing people together in neighborhoods across America."
"Fashionhire (UK)";"N/A";"N/A";"N/A";"N/A";"N/A"
"Feastly";"http://www.eatfeastly.com/";"2011";"Washington D.C";"N/A";"N/A"
"Fica La Em Casa";"http://www.ficalaemcasa.com.br";"N/A";"N/A";"N/A";"N/A"
"FindAUniform";"http://www.findauniform.com.au/";"2011";"Sydney";"N/A";"N/A"
"Fiverr";"http://www.Fiverr.com";"2009";"New York";"N/A";"N/A"
"Flat-Club";"http://flat-club.com/";"2010";"London";"N/A";"N/A"
"Flexiblers (UK and Ireland)";"http://www.flexiblers.mobi/?lang=EN&PHPSESSID=4098b29c36328886fbaed3f93b3bddfc";"2008";"Munich";"No";"N/A"
"Flexicar";"http://www.flexicar.com.au/";"2005";"N/A";"N/A";"N/A"
"FlightCar";"http://flightcar.com/";"2012";"San Francisco";"N/A";"N/A"
"Flinc";"http://flinc.org/world/";"2010";"Ludwigshafen";"Yes";"N/A"
"FlipKey";"https://www.flipkey.com/";"2007";"Boston";"N/A";"FlipKey is a vacation rental marketplace, with over 300,000 listings, that makes it easy, safe, and fun to find and book the perfect place to stay."
"Floow2";"http://www.floow2.com";"N/A";"Amsterdam";"N/A";"N/A"
"FOF Travel";"http://www.foftravel.com/";"2012";"N/A";"N/A";"N/A"
"Food Share";"http://www.foodshare.net/";"N/A";"Toronto";"N/A";"N/A"
"Food Up Front (London)";"http://www.foodupfront.org/";"2007";"London";"No";"N/A"
"FoodCloud";"http://foodcloud.ie/";"2013";"Dublin";"N/A";"FoodCloud – a social enterprise that matches businesses with surplus food to local charities & community groups."
"Foodsharing";"http://foodsharing.de/was-ist";"2012";"Cologne";"N/A";"N/A"
"Forage City";"http://foragecity.com/";"N/A";"N/A";"N/A";"N/A"
"Fractional Life";"http://fractionallife.com";"2006";"London";"No";"N/A"
"France Association des Ludoth";"http://www.alf-ludotheques.org/";"1979";"Paris";"No";"N/A"
"Fray";"http://beta.fray.it/";"2012";"Amsterdam";"N/A";"N/A"
"FRED – Books & People around us";"http://www.collaborativeconsumption.com/directoryitem/fred-books-people-around-us/www.superfred.it";"2014";"padova";"N/A";"Fred is a proximity based social network where everybody can share his own paper books and meet the people around."
"Free Treasure";"http://www.freetreasure.com.au/";"N/A";"Melbourne";"N/A";"N/A"
"Freecycle.org (global)";"http://www.freecycle.org";"N/A";"Tucson";"N/A";"N/A"
"FreeGive";"http://www.freegive.co.uk";"N/A";"london";"N/A";"N/A"
"Freegle";"http://www.ilovefreegle.org/";"N/A";"N/A";"N/A";"N/A"
"Freeglerξ";"http://freegler.com";"N/A";"Brisbane";"N/A";"N/A"
"FreeMesa";"http://freemesa.org/";"N/A";"San Jose";"N/A";"N/A"
"Freerun";"http://www.freerun.de/";"2001";"Munich";"No";"N/A"
"Freesharing";"http://freesharing.org/";"N/A";"N/A";"N/A";"N/A"
"Freestyle Clothing";"http://www.freestyleclothing.com/";"N/A";"Los Angeles";"N/A";"N/A"
"Freewheelers (U.K)";"http://www.freewheelers.co.uk";"2008";"London";"No";"N/A"
"Freewheelin";"http://www.freewheelinwaytogo.com";"2007";"Louisville";"No";"N/A"
"Frents";"http://www.frents.com";"2010";"N/A";"N/A";"N/A"
"FreshNeck";"http://www.freshneck.com";"N/A";"N/A";"N/A";"N/A"
"fretbay";"https://fretbay.com/fr/";"N/A";"N/A";"N/A";"N/A"
"Fribi";"http://fribi.com/";"2011";"Oslo";"N/A";"N/A"
"Friendly Fashion – Malaysia";"N/A";"N/A";"N/A";"N/A";"N/A"
"friends clear";"http://www.friendsclear.com/";"N/A";"N/A";"N/A";"N/A"
"Friendsurance";"http://www.friendsurance.de";"2010";"Berlin";"No";"N/A"
"FriendsWithThings";"http://www.friendswiththings.com.au";"2010";"Sydney";"No";"N/A"
"Fruitful";"https://lovefruitful.com/";"2013";"N/A";"N/A";"Fruitful replaces the need for a conventional bank by connecting savers’ money directly with mortgage borrowers."
"Fruitshare";"http://www.fruitshare.net/";"N/A";"N/A";"N/A";"N/A"
"FruitShare Canada";"http://www.fruitshare.ca/about-us/";"N/A";"N/A";"N/A";"N/A"
"FundersClub";"https://fundersclub.com/";"N/A";"San Francisco";"N/A";"Funders Club acts like a traditional venture capital fund in some ways, screening thousands of start-ups and funding 1.8% of applicants. But unlike that model, which requires funders to invest $50,000 to $250,000 in a deal, FundersClub allows investors to contribute as little as $2,500. And while traditional firms offer online tools to vet deals, they typically require in-person participation and paper documentation. FundersClub operates entirely online."
"Funding Circle";"https://www.fundingcircle.com/";"2010";"London";"N/A";"An online marketplace where real people can lend money directly to small UK businesses. And because this sidesteps the banks, lenders get a great return and businesses get a cheap rate on their loan."
"FunRide";"http://myfunride.com/";"2009";"San Luis Obispo";"N/A";"N/A"
"Fureai kippu (Japan)";"http://en.wikipedia.org/wiki/Fureai_kippu";"1995";"Tokyo";"No";"N/A"
"Furlenco";"http://www.furlenco.com/";"2012";"Bangalore";"N/A";"Furlenco is online furniture rental company based in Bangalore, India. It caters to a variety of people, ranging from expats to students. Furlenco provides services from identifying the furniture one wants to setting it up at home."
"Furniture Re-use Network (UK)";"http://www.frn.org.uk";"N/A";"London";"N/A";"N/A"
"Game Day Housing";"http://www.gamedayhousing.com/";"2006";"Chicago";"No";"N/A"
"Garage Sale Trail";"http://www.garagesaletrail.com.au/";"2010";"Sydney";"No";"N/A"
"Garagebilk";"http://garagebilk.de/";"2010";"D";"No";"N/A"
"Gay-ville";"http://www.gay-ville.com/";"2011";"N/A";"N/A";"N/A"
"Gazelle";"http://www.gazelle.com/";"2008";"Boston";"N/A";"N/A"
"Gazelle";"http://www.gazelle.com/";"N/A";"Boston";"N/A";"N/A"
"gchangetout";"http://www.gchangetout.com/";"N/A";"N/A";"N/A";"N/A"
"GearCommons";"http://www.gearcommons.com/";"2013";"Boston MA";"N/A";"N/A"
"GearSpoke";"http://www.gearspoke.com/contact";"2010";"Anchorage Alaska";"N/A";"N/A"
"General Assembly";"http://www.generalassemb.ly/";"2010";"New York";"Yes";"N/A"
"Get My Boat";"http://getmyboat.com/";"2011";"N/A";"N/A";"N/A"
"Getable";"http://www.getable.com/";"2009";"San Francisco";"Yes";"N/A"
"Getaround";"http://www.getaround.com";"2009";"San Francisco";"Yes";"N/A"
"GetMyBoat";"http://getmyboat.com/";"2013";"San Francisco";"N/A";"N/A"
"GetMyBoat.com";"http://getmyboat.com/";"2012";"San Francisco";"$500,000";"GetMyBoat is the world’s largest and fastest growing community-driven boat rental and charter marketplace. Owners on GetMyBoat rent or charter out their underutilized watercraft — from kayaks to catamarans, powerboats, and sailboats — in more than 1,100 locations worldwide. Boaters browse watercraft that meet their specifications and budget, then reserve them online or via mobile phone. With 11,500 watercraft listed, in over 80 countries, GetMyBoat enables amazing boating experiences, one boat at a time. Like us on Facebook, Follow us on Twitter, Watch us on YouTube, and Follow us on Pinterest."
"Getrid";"http://getridapp.com/";"2014";"Stockholm";"N/A";"Getrid is a mobile application that helps people to get rid of things they don’t need anymore and finds things that could be reused."
"Gidsy";"http://gidsy.com/";"2011";"Berlin";"Yes";"N/A"
"GiftFlow";"http://giftflow.org/";"2009";"New Haven";"N/A";"N/A"
